CustomerID,Age,AnnualIncome_k,SpendingScore,MembershipTier
13093796,52,69,59,Premium
6391464,17,59,99,Basic
14098299,21,95,69,Premium
14367914,33,79,45,Basic
1401255,38,85,99,Premium
683116,47,106,65,Basic
3576126,48,122,99,VIP
11125645,44,57,1,VIP
9793253,31,84,79,VIP
2361973,39,89,88,Premium
14421285,62,99,99,VIP
9706872,49,74,62,VIP
15737955,55,114,99,Basic
1442897,47,100,99,VIP
2876536,36,90,98,Premium
8391476,50,52,84,Premium
15574328,44,92,99,Basic
3082808,57,110,69,Basic
3112332,60,76,99,Premium
13398532,15,96,50,VIP
2910295,50,65,99,Basic
7913950,54,97,51,Basic
8914445,50,103,99,Basic
12411899,37,93,73,Basic
8268166,59,80,39,Basic
10773307,27,103,57,VIP
5033904,56,108,66,Premium
4280416,27,116,76,Premium
13041282,56,106,99,Premium
6679231,44,62,99,Basic
5115572,52,100,99,Premium
6491625,34,73,99,VIP
244948,62,50,1,Basic
5911590,21,94,74,Premium
5651109,54,76,99,Premium
5126892,33,65,99,VIP
11108013,52,119,96,Basic
15909961,41,65,45,Basic
11443510,62,115,67,Basic
5062118,61,72,39,Basic
4006892,46,67,99,Premium
11291579,37,102,99,Basic
14344621,33,80,81,Basic
3492002,53,105,98,Premium
16101844,53,40,99,Basic
16388326,46,60,61,Basic
2565639,62,71,46,Basic
15226301,35,106,49,Premium
13728897,37,74,61,VIP
309672,59,54,99,Premium
5526802,61,87,99,Basic
4654739,50,95,41,VIP
14091161,42,71,11,Premium
6544409,50,63,1,Basic
195041,58,95,99,Premium
185467,56,107,99,VIP
2302990,56,91,56,Basic
4660101,51,70,99,Basic
2761655,54,104,99,Basic
12334318,62,99,52,Basic
7755567,60,79,99,Premium
14251033,58,96,99,VIP
11609397,29,55,99,Basic
3496264,44,106,67,VIP
9789525,62,107,74,Premium
13547879,53,93,99,Premium
3576048,56,73,67,Basic
3686808,46,109,57,Basic
11639432,33,55,53,Premium
9608853,60,79,23,Premium
11907505,34,81,43,Basic
3010193,61,50,96,Premium
7440998,52,120,99,VIP
6198854,38,102,99,VIP
12466860,56,101,99,VIP
16156872,49,93,76,Basic
2285524,30,99,79,Basic
14178707,54,84,34,VIP
13073726,38,68,99,Basic
3084454,62,103,99,VIP
9817845,62,97,54,Premium
9428241,57,118,79,VIP
11750108,42,102,99,Basic
5651000,50,98,15,VIP
14745041,54,94,72,Premium
4588890,29,104,99,VIP
7736542,25,79,99,VIP
5701392,57,84,1,VIP
4304093,32,55,98,Basic
5499170,42,75,65,Premium
16500849,45,116,57,Premium
5949636,45,106,99,Basic
6740455,53,98,41,Premium
14926176,42,57,99,Basic
677676,62,95,99,Premium
10643176,61,91,57,Basic
10102834,17,16,99,Basic
1577758,51,96,99,Basic
2483643,58,67,46,Premium
5620603,22,89,99,VIP
7985295,57,45,74,Basic
9150210,51,54,99,Premium
11080075,51,74,85,Basic
1582700,56,73,45,Basic
11258583,40,87,17,VIP
438435,40,93,99,Premium
2529924,27,89,83,Basic
10784884,25,42,64,Premium
8584236,44,50,66,Premium
10788839,37,94,99,Premium
3004607,45,26,44,Basic
2077762,25,103,99,Premium
12547994,53,88,67,Premium
1338274,46,95,90,VIP
14903398,51,59,59,Premium
9524252,45,85,99,Premium
